timestamp,room_temp,room_hum,room_batt_mv,cpu_usage,cpu_temp,gpu_temp,gpu_usage,ram_usage,disk_usage
2026-05-20 11:33:02,27.16,35,2857,5.40,,30.00,0.00,21.30,11.30
2026-05-20 11:33:33,27.15,35,2857,0.70,,30.00,0.00,21.30,11.30
2026-05-20 11:34:03,27.16,35,2857,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:34:34,27.17,35,2858,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:35:04,27.16,35,2858,1.70,,30.00,0.00,21.40,11.30
2026-05-20 11:35:35,27.13,35,2858,0.30,,30.00,0.00,21.40,11.30
2026-05-20 11:36:05,27.17,35,2858,0.80,,30.00,0.00,21.50,11.30
2026-05-20 11:36:36,27.18,35,2858,0.40,,30.00,1.00,21.50,11.30
2026-05-20 11:37:06,27.16,35,2858,0.30,,30.00,0.00,21.40,11.30
2026-05-20 11:37:37,27.18,35,2858,0.50,,30.00,0.00,21.40,11.30
2026-05-20 11:38:07,27.18,35,2858,1.20,,30.00,0.00,21.40,11.30
2026-05-20 11:38:38,27.22,35,2858,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:39:08,27.21,35,2858,0.70,,31.00,0.00,21.50,11.30
2026-05-20 11:39:39,27.22,35,2875,0.60,,31.00,0.00,21.50,11.30
2026-05-20 11:40:10,27.29,35,2875,1.10,,31.00,1.00,21.50,11.30
2026-05-20 11:40:40,27.28,35,2875,10.30,,31.00,2.00,21.70,11.30
2026-05-20 11:41:11,27.26,35,2875,5.90,,31.00,0.00,21.50,11.30
2026-05-20 11:41:41,27.29,35,2875,4.20,,31.00,0.00,21.40,11.30
2026-05-20 11:42:12,27.30,35,2875,0.40,,31.00,0.00,21.40,11.30
2026-05-20 11:42:42,27.28,35,2875,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:43:13,27.30,35,2875,1.00,,31.00,0.00,21.40,11.30
2026-05-20 11:43:43,27.29,35,2875,1.30,,31.00,0.00,21.40,11.30
2026-05-20 11:44:14,27.36,35,2875,2.70,,31.00,0.00,21.40,11.30
2026-05-20 11:44:44,27.34,35,2858,0.40,,31.00,0.00,21.40,11.30
2026-05-20 11:45:15,27.35,35,2858,0.70,,31.00,0.00,21.40,11.30
2026-05-20 11:45:45,27.33,36,2858,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:46:16,27.36,36,2858,1.00,,31.00,0.00,21.40,11.30
2026-05-20 11:46:46,27.37,36,2858,0.90,,31.00,0.00,21.40,11.30
2026-05-20 11:47:17,27.41,36,2858,0.70,,31.00,0.00,21.40,11.30
2026-05-20 11:47:47,27.39,36,2858,0.70,,31.00,0.00,21.40,11.30
2026-05-20 11:48:18,27.40,36,2858,0.70,,31.00,0.00,21.40,11.30
2026-05-20 11:48:48,27.42,36,2858,2.00,,31.00,0.00,21.40,11.30
2026-05-20 11:49:19,27.41,36,2858,1.00,,31.00,0.00,21.40,11.30
2026-05-20 11:49:49,27.39,35,2858,0.80,,31.00,0.00,21.40,11.30
